회사명,사업연도,보고서종류,재무제표종류,재무제표 과목,기타과목
삼성전자,"2021,2022",사업보고서,CFS,"수익(매출액),영업이익","제품 및 재공품 등의 변동, 원재료 등의 사용액 및 상품 매입액 등"
에코프로,"2021,2022",사업보고서,CFS,"영업이익, 매출액",
